location_id,type,attention,street_1,street_2,city,state,postal_code,country
"Lf8PJ9dQhHUmHNtNba8LxRfXo","physical","","","","Redwood City","CA","",""
"Lf8PJ9dQhHUmHNtNba8LxRfXo","mailing","Fair Oaks Intergenerational Center","","","Redwood City","CA","",""
"35aZ4TRqh3GHIpgHI59wqbsfc","physical","","","","San Mateo","CA","",""
"35aZ4TRqh3GHIpgHI59wqbsfc","mailing","PFS Second Career Services","","","San Mateo","CA","",""
"BLzYdkzds1v7cQU69tZrtKfy4","physical","","","","San Mateo","CA","",""
"BLzYdkzds1v7cQU69tZrtKfy4","mailing","PFS Senior Peer Counseling","","","San Mateo","CA","",""
"FjGHwR93Db14eU8z8trvGEoeo","physical","","","","San Mateo","CA","",""
"FjGHwR93Db14eU8z8trvGEoeo","mailing","PFS Family Visitation Center","","","San Mateo","CA","",""
"P3ZefNwqhjKGW9zYyVsd4wSdv","physical","","","","San Mateo","CA","",""
"P3ZefNwqhjKGW9zYyVsd4wSdv","mailing","Economic Self - Sufficiency Program","","","San Mateo","CA","",""
"AQquzksfvVOzZzQPyyk4tzCMW","physical","","","","Menlo Park","CA","",""
"AQquzksfvVOzZzQPyyk4tzCMW","mailing","Little House","","","Menlo Park","CA","",""
"4ogorcxOlqnY5FTTbejAEohmZ","physical","","","","Menlo Park","CA","",""
"4ogorcxOlqnY5FTTbejAEohmZ","mailing","Rosener House","","","Menlo Park","CA","",""
"F8XEOnScPvoOw28tlkIksQRWk","physical","","","","Menlo Park","CA","",""
"F8XEOnScPvoOw28tlkIksQRWk","mailing","Meals on Wheels - South County","","","Menlo Park","CA","",""
"bXvSRTVqYpubpsqF5grU1MEbW","physical","","","","Redwood City","CA","",""
"bXvSRTVqYpubpsqF5grU1MEbW","mailing","Fair Oaks Branch","","","Redwood City","CA","",""
"nDAlsrawVULWR1vhkKIkwZijs","physical","","","","Redwood City","CA","",""
"nDAlsrawVULWR1vhkKIkwZijs","mailing","Main Library","","","Redwood City","CA","",""
"r0pfe5vyth869bFxcqz1CIB7w","physical","","","","Redwood City","CA","",""
"r0pfe5vyth869bFxcqz1CIB7w","mailing","Schaberg Branch","","","Redwood City","CA","",""
"EKOCa7a6wpcozEcfygw7mclbK","physical","","","","Redwood City","CA","",""
"EKOCa7a6wpcozEcfygw7mclbK","mailing","Project Read","","","Redwood City","CA","",""
"tp7NdNScEYQd0Hex5jT61IRxA","physical","","","","Redwood City","CA","",""
"tp7NdNScEYQd0Hex5jT61IRxA","mailing","Redwood Shores Branch","","","Redwood City","CA","",""
"lIozhzFDigikZGAJ11zLX9PNC","physical","","","","Redwood City","CA","",""
"lIozhzFDigikZGAJ11zLX9PNC","mailing","Salvation Army","","","Redwood City","CA","",""
"Kr7pM0aUYZphdACgE9DGgLqIi","physical","","","","San Francisco","CA","",""
"Kr7pM0aUYZphdACgE9DGgLqIi","mailing","Adult Rehabilitation Center","","","San Francisco","CA","",""
"mOHscXCyAcj4s8MVyaOyP9H6p","physical","","","","Sunnyvale","CA","",""
"mOHscXCyAcj4s8MVyaOyP9H6p","mailing","Salvation Army","","","Sunnyvale","CA","",""
"55FIeVtGwfylxpQ1MLmpvGVqE","physical","","","","South San Francisco","CA","",""
"55FIeVtGwfylxpQ1MLmpvGVqE","mailing","Salvation Army","","","South San Francisco","CA","",""
"OkD9SQLaGfPdTErYXhvCfN1Yx","physical","","","","Redwood City","CA","",""
"OkD9SQLaGfPdTErYXhvCfN1Yx","mailing","Redwood City Free Medical Clinic","","","Redwood City","CA","",""
"xxCxI4War0gabyCKqEi0qD4vg","physical","","","","San Mateo","CA","",""
"xxCxI4War0gabyCKqEi0qD4vg","mailing","San Mateo Free Medical/Dental","","","San Mateo","CA","",""
"TIp5zL9HeDicfd6eEDad1zm5D","mailing","","","","fairfax","VA","",""
"uOw0Jt3hPpggnSaFkHR9KhNS6","physical","","","","fairfax","va","",""
